title;year;author
Extensionally defining principles and cases in ethics: An AI model.;2003;Rick L. Edgeman
The Intelligent Transportation System and the Ethics of Intelligent Computers.;2003;Ai Cheo Yeo and Kate A. Smith and Robert J. Willis and Malcolm Brooks
An Explainable Artificial Intelligence System for Small-unit Tactical Behavior.;2004;Penny Duquenoy
Intelligent Ethics.;2004;Roberto Esposito and Lorenza Saitta
Intelligent leaky bucket algorithms for sustainable-cell-rate usage parameter control in ATM networks.;2004;Bruce M. McLaren
Explanation provision and use in an intelligent decision aid.;2004;Jong-Min Choe
Intelligent sustainable manufacturing systems, management of the linkage between sustainability and intelligence - an overview.;2004;Menno H. Nagel and Tetsuo Tomiyama
Intelligent design or felicitous evolution? sustaining order and activity in online communities.;2005;Panagiotis Germanakos and Constantinos Mourlas and Chara Isaia
Explainable Artificial Intelligence for Training and Tutoring.;2005;John D. Ainsworth and Jon MacLaren and John M. Brooke
Intelligent ambience between Heaven and Hell: A salvation?;2005;Jacob M. Rose and Anna M. Rose and Carolyn Strand Norman
Social, Economic, and Ethical Implications of Ambient Intelligence and Ubiquitous Computing.;2005;Jürgen Bohn 0001 and Vlad C. Coroama and Marc Langheinrich and Friedemann Mattern and Michael Rohs
Classifying Credit Card Accounts for Business Intelligence and Decision Making: a Multiple-criteria Quadratic Programming Approach.;2005;Tatyana V. Bondarouk and Klaas Sikkel
Reader's report on 'artificial intelligence'.;2005;Robert S. Ludwig and Michael J. Piovoso
Artificial intelligence (ai).;2005;Shaaron Ainsworth and Andrea Th. Loizou
Web personalized intelligent user interfaces and processes an enabler of multi-channel ebusiness services sustainability.;2005;Markus C. Huebscher and Julie A. McCann
A 21st Century Ethical Debate: Pursuing Perspectives on Ambient Intelligence.;2005;Richard J. Botting
Modeling an intelligent authentication system to protect financial information.;2006;R. P. Sundarraj 0001
Opportunities for artificial intelligence development in the accounting domain: the case for auditing.;2006;Armand Layne
SiP integration of intelligent, adaptive, self-sustaining power management solutions for portable applications.;2006;Hiroshi Takemiya and Yoshio Tanaka and Satoshi Sekiguchi and Shuji Ogata and Rajiv K. Kalia and Aiichiro Nakano and Priya Vashishta
Building Explainable Artificial Intelligence Systems.;2006;Scott Paquette and Erica Wiseman
Modeling an intelligent continuous authentication system to protect financial information resources.;2006;James Gaston
Integrating intelligent systems into marketing to support market segmentation decisions.;2006;James Karlsen
Modeling an intelligent authentication system to protect financial information.;2006;Zane L. Berge and Lenora Giles
Machine Ethics: Creating an Ethical Intelligent Agent.;2007;Michael Anderson 0001 and Susan Leigh Anderson
The Design of an Intelligent Accountability Architecture.;2007;Zongwei Luo and Jenny S. Li and Edward C. Wong
SOA-Trust: Towards Developing Trustworthy RFID Enabled Intelligent Service Solutions.;2007;Deborah L. McGuinness and Alyssa Glass and Michael Wolverton and Paulo Pinheiro da Silva
Assessing Student Learning Outcomes in the Introductory Accounting Information Systems Course Using the AICPA's Core Competency Framework.;2007;Wen-Min Lu and Shih-Fang Lo
XAI : une méthode incrémentale pour l'approximation de la fonction de valeur.;2007;Sebastian Thrun
Towards trustworthy intelligence on the road: A flexible architecture for safe, adaptive, autonomous applications.;2007;Jason Tan and Gautam Biswas
An intelligent approach to detecting the bad credit card accounts.;2007;Yo-Ping Huang and Chun-Chieh Lu and Tsun-Wei Chang and Maw-Sheng Horng
AI and Accountability.;2007;Amelia A. Baldwin and Carol E. Brown and Brad S. Trinkle
ExOpaque: A Framework to Explain Opaque Machine Learning Models Using Inductive Logic Programming.;2007;Bernd Scholz-Reiter and Enzo Morosini Frazzon
Shall We Explain? Augmenting Learning from Intelligent Tutoring Systems and Peer Collaboration.;2008;Robert G. M. Hausmann and Brett van de Sande and Kurt VanLehn
Artificial intelligence in Buddhist perspective.;2008;David R. Fordham
Discovering the Foundations of a Universal System of Ethics as a Road to Safe Artificial Intelligence.;2008;Bhavani Sridharan and Hepu Deng and Brian J. Corbitt
Organisational Spaces and Intelligent Machines: A Metaphorical Approach to Ethics.;2008;Luis Montaño Hirose
Socio-ethics of interaction with intelligent interactive technologies.;2008;Matteo Santoro and Dante Marino and Guglielmo Tamburrini
Stages of Ethical Development in Artificial General Intelligence Systems.;2008;Christina Chandras and Tom Weaver and Michael Zouberakis and John M. Hancock and Paul N. Schofield and Vassilis Aidinis
Measuring the effects of business intelligence systems: The relationship between business process and organizational performance.;2008;Zane L. Berge and Lenora Giles
Swarm Intelligence: A Tutorial Account.;2008;I-Chun Tsai and Bosung Kim and Pei-Ju Liu and Sean P. Goggins and Christiana Kumalasari and James M. Laffey
Machine Learning in Ecosystem Informatics and Sustainability.;2009;Steven Dorrestijn
Downloads and citations in Intelligent Systems in Accounting, Finance and Management.;2009;Stijn Viaene and Steven De Hertogh and Luc Lutin and Annemarie Maandag and Stephan Den Hengst and Reinder Doeleman
Intelligence-led policing at the Amsterdam-Amstelland Police Department: operationalized business intelligence with an enterprise ambition.;2009;Satinder P. Gill
A Safe Ethical System for Intelligent Machines.;2009;Barry G. Silverman and David Pietrocola and Nathan Weyer and Ransom Weaver and Nouva Esomar and Robert Might and Deepthi Chandrasekaran
Defining Ethical Guidelines for Ambient Intelligence Applications on a Mobile Phone.;2009;Veikko Ikonen and Eija Kaasinen and Marketta Niemelä
"""Intelligent Collaboration"" the Paradox of ""Ethical Agency"" and ""Corporate Governance"".";2009;Michael C. Bromby
Modeling Medical Ethics through Intelligent Agents.;2009;Jan M. Broersen and Rosja Mastop and John-Jules Ch. Meyer and Paolo Turrini
Managing Sustainability with the Support of Business Intelligence Methods and Tools.;2009;Thomas G. Dietterich
Safeguards in a World of Ambient Intelligence$$$$$$$$ David Wright, Serge Gutwirth, Michael Friedewald, Elena Vildjiounaite, Yves Punic (eds).;2009;Michael Georgiopoulos and Ronald F. DeMara and Avelino J. Gonzalez and Annie S. Wu and Mansooreh Mollaghasemi and Erol Gelenbe and Marcella K. Kysilka and Jimmy Secretan and Carthik A. Sharma and Ayman Jameel Alnsour
A Sustainable Model for Integrating Current Topics in Machine Learning Research Into the Undergraduate Curriculum.;2009;Jennifer King
Managing sustainability with the support of business intelligence: Integrating socio-environmental indicators and organisational context.;2009;Roland Schäfer and Eleni Vasilaki and Walter Senn
Risk analysis in complex systems: intelligent systems in finance.;2009;Tagelsir Mohamed Gasmelseid
Designs for explaining intelligent agents.;2009;Fumihiko Ishida and Takahiro Sasaki and Yutaka Sakaguchi and Hiroyuki Shimai
Privacy and security - An ethics code for U.S. intelligence officers.;2009;Øystein Sørebø and Hallgeir Halvari and Vebjørn Flaata Gulli and Roar Kristiansen
Safeguards in a World of Ambient Intelligence (The International Library of Ethics, Law and Technology), edited by David Wright, Serge Gutwirth, Michael Friedewald, Elena Vildjiounaite, and Yves Punie. London: Springer, 2008, 291 pp. Cloth $159.00. ISBN 978-1-4020-6661-0.;2009;Selmer Bringsjord
Supporting intelligent and trustworthy maritime path planning decisions.;2010;Rhona Sharpe and Jenny Mackness
Mobile-Centric Ambient Intelligence in Health- and Homecare - Anticipating Ethical and Legal Challenges.;2010;Daniel E. O'Leary
Computationally Grounded Account of Belief and Awareness for AI Agents.;2010;Soichi Sawamura and Ailixier Aikebaier and Tomoya Enokido and Valbona Barolli and Makoto Takizawa 0001
SMART CAMP: Environmental Sustainability Through Intelligent Automation Technologies.;2010;Markus M. Kohn and Elizabeth Chang 0001 and Achim Karduck and Alex Talevski
Artificial emotional intelligence under ethical constraints in formulating social agent behaviour.;2010;Shamual F. Rahaman and Ziad Kobti and Anne W. Snowdon
Audit-firm group appointment: an artificial intelligence approach.;2010;Erik Sandberg and Per Åman
Intelligent Systems in Accounting, Finance and Management: ISI journal and proceeding citations, and research issues from most-cited papers.;2010;Eleni Kosta and Olli Pitkänen and Marketta Niemelä and Eija Kaasinen
Ethical and legal issues of the use of computational intelligence techniques in computer security and computer forensics.;2010;Sandra Michelet and Vanda Luengo and Jean-Michel Adam and Nadine Mandran
Applying machine learning in accounting research.;2011;Kun-Lin Hsieh
Cortical thickness correlates of specific cognitive performance accounted for by the general factor of intelligence in healthy children aged 6 to 18.;2011;Stephen Grossberg and Jeffrey E. Markowitz and Yongqiang Cao
Employing a recommendation expert system based on mental accounting and artificial neural networks into mining business intelligence for study abroad's P/S recommendations.;2011;Douglas H. Fisher
Safeguards in a world of ambient intelligence: A social, economic, legal, and ethical perspective.;2011;Françoise Gourmelon and Mathias Rouan and Jean-François Lefevre and Anne Rognant
Is Instinct Rational? Are Animals Intelligent? An Abductive Account.;2011;Lorenzo Magnani
Developing Sustainable e-Business Models for Intelligent Transportation Systems (ITS).;2011;Konstantinos N. Giannoutakis and Feng Li 0021
Artificial Intelligence Safety Engineering: Why Machine Ethics Is a Wrong Approach.;2011;Roman V. Yampolskiy
"The new competitive intelligence agents: ""Programming"" competitive intelligence ethics into corporate cultures.";2011;Norm Friesen
Learning about Machine Learning: An Extended Assignment to Classify Twitter Accounts.;2011;Eni Mustafaraj and Scott D. Anderson
PIL-EYE: Integrated System for Sustainable Development of Intelligent Visual Surveillance Algorithms.;2011;Hyung Jin Chang and Kwang Moo Yi and Shimin Yin and Soo Wan Kim and Young Min Baek and Ho Seok Ahn and Jin Young Choi 0002
A Personal Mobility Assistant based on Ambient Intelligence to Promote Sustainable Travel Choices.;2011;Daniele Magliocchetti and Martin Gielow and Federico De Vigili and Giuseppe Conti and Raffaele De Amicis
Using Business Intelligence in IT Governance Decision Making.;2011;Arisa Shollo
Opportunities for AI to Improve Sustainable Building Design Processes.;2011;John Riker Haymaker
Business Intelligence (Bi) Success and the Role of Bi Capabilities.;2011;Daniel E. O'Leary
Computing and AI for a Sustainable Future.;2011;Ailixier Aikebaier and Tomoya Enokido and Makoto Takizawa 0001
"Editorial: Special Issue on ""Trustworthy and Intelligent Services for Ubiquitous Computing"".";2011;Robert G. M. Hausmann and Kurt VanLehn
Building and Evolving Data Warehousing and Business Intelligence artefacts: the Case of Sysco.;2011;Egon L. van den Broek
Can temporal representation and reasoning make a difference in automated legal reasoning?: lessons from an AI-based ethical reasoner.;2011;Bruce M. McLaren and Kevin D. Ashley
Machine learning for computational sustainability.;2012;Thomas G. Dietterich and Ethan W. Dereszynski and Rebecca A. Hutchinson and Dan Sheldon
Can a zero-intelligence plus model explain the stylized facts of financial time series data?;2012;Imon Palit and Steve Phelps and Wing Lon Ng
Incorporating Computational Sustainability into AI Education through a Freely-Available, Collectively-Composed Supplementary Lab Text.;2012;Douglas H. Fisher and Bistra Dilkina and Eric Eaton and Carla Gomes 0001
Computational intelligence techniques for solar photovoltaic system applications.;2012;Eleonora D'Andrea and Beatrice Lazzerini
Enterprise energy management using a linked dataspace for Energy Intelligence.;2012;Edward Curry and Souleiman Hasan and Seán O'Riain
Sensorization and Intelligent Systems in Energetic Sustainable Environments.;2012;Fábio Silva and David Cuevas and Cesar Analide and José Neves 0001 and José Marques
Machine learning and multimedia content generation for energy demand reduction.;2012;Nigel H. Goddard and Johanna D. Moore and Charles Sutton and Heather Lovell and Janette Webb
Intelligent Ethical Wealth Planner: A Multi-agent Approach.;2012;Phang Wai San and Tan Li Im and Patricia Anthony
Using Horn Clauses and Fuzzy Logic to Provide Location Intelligence Services to Mobile Users: An Implementation Account.;2012;Alfio Costanzo and Alberto Faro and Concetto Spampinato
WEBsistments: Enabling an Intelligent Tutoring System to Excel at Explaining Rather Than Coaching.;2012;Yue Gong and Joseph E. Beck and Neil T. Heffernan
FPGA based trustworthy authentication technique using Physically Unclonable Functions and artificial intelligence.;2012;Swetha Pappala and Mohammed Y. Niamat and Weiqing Sun
Intelligence Techniques in Computer Security and Forensics: At the Boundaries of Ethics and Law.;2012;Bernd Carsten Stahl and Moira Carroll-Mayer and David A. Elizondo and Kutoma Wakunuma and Yingqin Zheng
Ambient Intelligence Implies Responsibility.;2012;Christian Detweiler and Francien Dechesne and Koen V. Hindriks and Catholijn M. Jonker
Industry-University Learning Network to create competences for intelligent and sustainable manufacturing: A case study.;2012;Giustina Secundo and Giuseppina Passiante and Aldo Romano
Intelligent Sustainable Liveable Cities.;2012;Derek Clements-Croome
The Role of AI in Wisdom of the Crowds for the Social Construction of Knowledge on Sustainability.;2012;Mary Lou Maher
The Challenge of Flexible Intelligence for Models of Human Behavior.;2012;Mathew D. McCubbins and Mark Turner 0005 and Nicholas Weller
Intelligent Working Environments, Handling of Medical Data and the Ethics of Human Resources.;2012;Céline Ehrwein Nihan
An intelligent system for energy efficiency in a complex of buildings.;2012;Alessandra De Paola and Giuseppe Lo Re and Marco Morana and Marco Ortolani
Are you a trustworthy partner in a cross-cultural virtual environment?: behavioral cultural intelligence and receptivity-based trust in virtual collaboration.;2012;Ye Li 0003 and Hui Li 0058 and Alexander Mädche and Pei-Luen Patrick Rau
Intelligent Multiagent Control System for Energy and Comfort Management in Smart and Sustainable Buildings.;2012;Patrícia Amâncio Vargas and Ylva Fernaeus and Mei Yii Lim and Sibylle Enz and Wan Ching Ho and Mattias Jacobsson and Ruth Aylett
Recent Advances in AI for Computational Sustainability.;2012;Olapeju Latifat Ayoola and Eleni E. Mangina
En Plein Air: A Mobile Learning Approach for Sustainability Education in the Wild.;2012;Li-Ling Chao and Yu-Der Wen and Pin-Chen Chen and Chung-Chi Lin and Shu-Hua Lin and Chorng-Jee Guo and Wei-Lung Wang
Development and evaluation of a framework to explain causes of competitive intelligence failures.;2012;Ross M. Miller
The Effect of boundary conditions on Efficiency and Pricing in Double-Auction Markets with Zero-Intelligence Agents.;2012;Agustinus Borgy Waluyo and David Taniar and J. Wenny Rahayu and Ailixier Aikebaier and Makoto Takizawa 0001 and Bala Srinivasan 0002
Ambient Intelligence on Personal Mobility Assistants for Sustainable Travel Choices.;2012;Mathew B. Chylinski and John H. Roberts and Bruce G. S. Hardie
Smart Home Point As Sustainable Intelligent House Concept.;2013;Miroslav Behan and Ondrej Krejcar
Machine Intelligence and the Ethical Grammar of Computability.;2013;David Leslie
Artificial Intelligence and Responsible Innovation.;2013;Miles Brundage
Ethically Intelligent? A Framework for Exploring Human Resource Management Challenges of Intelligent Working Environments.;2013;Céline Ehrwein Nihan and Katharina Kinder-Kurlanda
Intelligent Control for Sustainable Energy Management in Underground Stations.;2013;Hongliang Guo and Alfons H. Salden
Towards Sustainable Computing through Ambient Intelligence.;2013;Maher Ben Moussa and Nadia Magnenat-Thalmann
Intelligent Technologies for Self-Sustaining, RFID-Based, Rural e-Health Systems.;2013;Manish Jain and Bo An 0001 and Milind Tambe
Collective intelligence and ethical individualism.;2013;David Aikema and Rob Simmonds and Hamidreza Zareipour
Modelling uncertainty in the sustainability of Intelligent Transport Systems for highways using probabilistic data fusion.;2013;Karen Stepanyan and Allison Littlejohn and Anoush Margaryan
"""Green Machine"" Intelligence: Greening and Sustaining Smart Grids.";2013;Lynroy Grant and Akram Abu-aisheh and Alan Hadad and Barbara Poole
Intelligent Facility Management for Sustainability and Risk Management.;2013;Adam Kucera and Tomás Pitner
On the Application of Supervised Machine Learning to Trustworthiness Assessment.;2013;Sascha Hauke and Sebastian Biedermann and Max Mühlhäuser and Dominik Heider
Development of an intelligent environmental knowledge recommendation system for sustainable water resource management using modis satellite imagery.;2013;Jagannath Aryal and Ritaban Dutta and Ahsan Morshed
IntelligEnsia for Energy Sustainability Case Study: Manado, Indonesia.;2013;Angreine Kewo and Pinrolinvic Manembu and Clief Hendro Sengkey
Which Is More Responsible for Boredom in Intelligent Tutoring Systems: Students (Trait) or Problems (State)?;2013;William J. Hawkins and Neil T. Heffernan and Ryan Shaun Joazeiro de Baker
Computational intelligence-based identification of maximally sustainable materials: The case of liquid containers.;2013;Tatiana Tambouratzis and Dimitris E. Karalekas and Nikolaos G. Moustakas
Corporate dividend Policy Determinants: Intelligent versus a Traditional Approach.;2013;Rosemary L. Chang and Kathleen Gray
By Executive Order: Delivery of Cyber Intelligence Imparts Cyber Responsibilities.;2013;Adam S. Maiga and Anders Nilsson 0005 and Fred A. Jacobs
Sustainable PLM through Intelligent Products.;2013;Marja Randelin and Terhi Saaranen and Paula Naumanen and Veikko Louhevaara
The machine question: Critical perspectives on AI, robots, and ethics.;2014;A. Stephen McGough and Matthew Forshaw
Improving Business Intelligence Traceability and Accountability: An Integrated Framework of BI Product and Metacontent Map.;2014;Alexey Potapov and Sergey Rodionov
The Analysis and Design of a Sustainable E-learning System for Business Intelligence Development.;2014;Brenda Scholtz and Maxine Esterhuyse
Computational Sustainability and Artificial Intelligence in the Developing World.;2014;Marion A. Hersh
Sustainable Policy Making: A Strategic Challenge for Artificial Intelligence.;2014;John Quinn and Vanessa Frías-Martínez and Lakshminarayan Subramanian
A Collective Intelligence Approach for Building Student's Trustworthiness Profile in Online Learning.;2014;Jorge Miguel 0001 and Santi Caballé and Fatos Xhafa and Josep Prieto and Leonard Barolli
Are Intelligent Manufacturing Systems Sustainable?;2014;André Thomas 0001 and Damien Trentesaux
Universal empathy and ethical bias for artificial general intelligence.;2014;Else Lauridsen
Recommendations for the ethical use and design of artificial intelligent care providers.;2014;Abelardo Pardo and George Siemens
Development of an intelligent environmental knowledge system for sustainable agricultural decision support.;2014;Aiko Yamashita
Responsible Intelligent Systems - The REINS Project.;2014;Ute Schmid
Does AI Need a New Debate on Ethics?;2014;Zachary J. McDowell
Business Intelligence in the Music Industry Value Chain: Ensuring Sustainability in a Turbulent Business Environment.;2014;Stuart Peter Dinmore
Automatic Analysis of Corporate Sustainability Reports and Intelligent Scoring.;2014;Hagit Meishar-Tal and Michal Gross
The Nativist Input Problem: Why Evolutionary Psychology Still Can't Explain Human Intelligence.;2014;Linus Ta-Lun Huang
Pervasive Ambient Intelligence Platforms in the IOT Era based on a Ubiquitous User Model Ontology - An Implementation Account.;2014;Alfio Costanzo and Alberto Faro and Daniela Giordano
Intelligent and Collaborative Multi-Agent System to Generate Automated Negotiation for Sustainable Enterprise Interoperability.;2014;Manuella Kadar and Maria Muntean
Managing intelligent self-sustained electrical micro-grids.;2014;Adriano Ferreira and Paulo Leitão and Pavel Vrba
Models of an Integrated Performance Measurement System of Intelligent and Sustainable Supply Chains.;2014;Blanka Tundys and Andrzej Rzeczycki and Magdalena Ziolo and Jaroslaw Jankowski
Intelligent Mobility for Smart Cities: Driver Behaviour Models for Assessment of Sustainable Transport.;2014;Hussein Dia and Sakda Panwai
Machine learning of visual object categorization: an application of the SUSTAIN model.;2014;Giovanni Sirio Carmantini and Angelo Cangelosi and Andy J. Wills
Toward an Ethical Framework for Web-Based Collective Intelligence.;2014;Khaled Saleh Al Omoush
"""Sustainable assemblage for energy (SAE)"" inside intelligent urban areas: How massive heterogeneous data could help to reduce energy footprints and promote sustainable practices and an ecological transition.";2014;Philippe Calvez and Eddie Soulier
Business Intelligence Systems as Management, Accountability and Transparency Tools for the Government: The Case of Platform Aquarius.;2014;Ethel Airton Capuano
eFRIEND: an ethical framework for intelligent environment development.;2014;Simon Jones and Sukhvinder Hara and Juan Carlos Augusto
An Intelligent Application for Outdoor Rendering Taking Sky Color and Shadows into Account.;2014;Hoshang Kolivand and Mohd Shahrizal Sunar
An effective and intelligent driver assistance and warning system for sustained safety.;2014;Suresh Kumar Thirupuranthakam and Atul Negi
Enabling Sustainable Smart Homes: An Intelligent Agent Approach.;2014;Konstantina Valogianni and Wolfgang Ketter and John Collins and Dmitry Zhdanov
The Design and Evaluation of Intelligent Energy Dashboard for Sustainability in the Workplace.;2014;Ray Yun and Azizan Aziz and Bertrand Lasternas and Chenlu Zhang and Vivian Loftness and Peter Scupelli and Yunjeong Mo and Jie Zhao 0005 and Nana Wilberforce
Account level demand estimation and intelligence framework.;2014;Pranjal Mallick and Vikash Kumar Sharma and Parikshit Bhinde and Mutha Mandapati Reddy
A Big Data Based Intelligent Decision Support System for Sustainable Regional Development.;2015;Hong Zhou and Christopher Noble and Julie Cotter
Using Business Intelligence to Support Strategic Sustainability Information Management.;2015;Ross Haupt and Brenda Scholtz and André P. Calitz
eFRIEND: an ethical framework for intelligent environments development.;2015;Daniel E. O'Leary
The 50 Most Downloaded Papers in Intelligent Systems in Accounting, Finance and Management in 2014.;2015;Aimee van Wynsberghe and Jeroen van der Ham
Robotics: Ethics of artificial intelligence.;2015;Sareh Zendehrouh
Is it Research or is it Spying? Thinking-Through Ethics in Big Data AI and Other Knowledge Sciences.;2015;Bettina Berendt and Marco Büchler and Geoffrey Rockwell
Intelligent Computing for Sustainable Energy and Environment (ICSEE 2012).;2015;Kang Li 0002 and Seán F. McLoone and Ling Wang 0001
A Dynamic Fuzzy Money Management Approach for Controlling the Intraday Risk-Adjusted Performance of AI Trading Algorithms.;2015;Vince Vella and Wing Lon Ng
Novel plasticity rule can explain the development of sensorimotor intelligence.;2015;Hutan Ashrafian
Computational Intelligence to Support Cooperative Seaport Decision-Making in Environmental and Ecological Sustainability.;2015;Ana Ximena Halabi Echeverry and Jairo R. Montoya-Torres and Deborah Richards 0001 and Nelson Obregón Neira
Designing, Implementing and Enforcing a Coherent System of Laws, Ethics and Morals for Intelligent Machines (Including Humans).;2015;Mark R. Waser
Detecting Accounting Frauds in Publicly Traded U.S. Firms: A Machine Learning Approach.;2015;Bin Li and Julia Yu and Jie Zhang 0002 and Bin Ke
Context Time-Sequencing for Machine Learning and Sustainability Optimization.;2015;Fábio Silva and Cesar Analide
Geospatial Intelligence and Data Fusion Techniques for Sustainable Development Problems.;2015;Nataliia Kussul and Andrii Shelestov and Ruslan Basarab and Sergii Skakun and Olga Kussul and Mykola Lavrenyuk
Artificial Intelligence and Robot Responsibilities: Innovating Beyond Rights.;2015;Jorge Miguel 0001 and Santi Caballé and Fatos Xhafa and Josep Prieto
Sustainable Computing and Communications - Internet Broadband Network of Things Applied to Intelligent Education.;2015;Yuzo Iano and Ivan T. Lima Jr. and Hermes Jose Loschi and Telmo C. Lustosa and O. S. Mesquita and Angelo Moretti
Fostering sustainable electronic waste management through intelligent sorting equipment.;2015;Ilaria Barletta and Björn Johansson 0004 and Klas Cullbrand and Max Bjorkman and Johanna Reimers
On Heterogeneous Machine Learning Ensembles for Wind Power Prediction.;2015;Justin Heinermann and Oliver Kramer 0001
AIonAI: A Humanitarian Law of Artificial Intelligence and Robotics.;2015;Yunfeng Zhang and Jaehyon Paik and Peter Pirolli
AI Ethics: Science Fiction Meets Technological Reality.;2015;Daniel Zeng 0001
Data barns, ambient intelligence and cloud computing: the tacit epistemology and linguistic representation of Big Data.;2015;Lisa Portmess and Sara Tower
Concept Learning for Safe Autonomous AI.;2015;Kaj Sotala
Teaching AI Ethics Using Science Fiction.;2015;Emanuelle Burton and Judy Goldsmith and Nicholas Mattei
On Keeping Secrets: Intelligent Agents and the Ethics of Information Hiding.;2015;Aaron Hunter 0001
Intelligent appraisal for sustainable urban mobility planning.;2015;Mattias Juhasz
Sustainable Building Design: A Challenge at the Intersection of Machine Learning and Design Optimization.;2015;Siamak Safarzadegan Gilan and Bistra Dilkina
Heterogeneous Roadside Unit Placement in Eco-Sustainable Communication Networks for Intelligent Transportation.;2015;Yingge Song and Bin Lin 0001 and Yuxin Tian and Ning Ding and Rongxi He and Tiange Zhao
Ambient Intelligence: Experiments on Sustainability Awareness.;2015;Fábio Silva and Cesar Analide
Economic Possibilities for Our Children: Artificial Intelligence and the Future of Work, Education, and Leisure.;2015;Miles Brundage
Biologically Inspired Design: A New Paradigm for AI Research on Computational Sustainability?;2015;Ashok K. Goel 0001
Friendly Artificial Intelligence: The Physics Challenge.;2015;Max Tegmark
"""The reports of my death are greatly exaggerated"" - Artificial intelligence research in accounting.";2016;Richelle L. Oakley and Rahul Singh
Intelligent DC Homes in Future Sustainable Energy Systems: When efficiency and intelligence work together.;2016;Amitai Etzioni and Oren Etzioni
Intelligent Control of Traffic Flows for Sustainable Transportation Networks.;2016;Alexander V. Bozhenyuk and Stanislav L. Belyakov and Evgeniya Gerasimenko and Marina Savelyeva
Wind Power Prediction with Machine Learning.;2016;Nils André Treiber and Justin Heinermann and Oliver Kramer 0001
AI assisted ethics.;2016;Aimee van Wynsberghe
Project IS3: Incentive-Based Intelligent Intervention for Smart and Sustainable Society.;2016;Yutaka Arakawa and Keiichi Yasumoto and Kenichi Matsumoto and Hideaki Hata and Hirohiko Suwa and Akinori Ihara and Manato Fujimoto
Collective intelligence of temporal statistics for segmenting sustained infant feeding behaviors in Videos.;2016;Xinpeng L. Liao and Chengcui Zhang and Wei-bang Chen and Paula Chandler-Laney
Information Hiding: Ethics and Safeguards for Beneficial Intelligence.;2016;Aaron Hunter 0001
